congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
116,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.339,0.447,-8.32133,0.87984,65,3,,0.464,0.012
116,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.39,0.401,-2.16553,0.96772,66,1,,-0.522,-0.239
116,House,21192,41,2,AL,200,,,"ROBY, Martha",R000591,1976,,0.368,0.664,-2.74258,0.9593,66,1,,0.485,0.306
116,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954,,0.606,-0.445,-15.96569,0.78513,66,9,,0.563,-0.597
116,House,21376,41,1,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.544,0.286,-10.52999,0.85456,67,3,,0.543,-0.218
116,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954,,0.768,-0.07,-6.50665,0.90745,67,2,,0.643,0.223
116,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.362,0.587,-5.90157,0.91446,66,2,,0.578,0.43
116,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,,0.28,0.015,-10.09416,0.84749,61,2,,0.436,-0.038
116,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.599,-0.246,-2.422,0.96342,65,1,,-0.522,-0.239
116,House,20902,61,2,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950,,-0.158,-0.01,-4.32127,0.93662,66,2,,-0.288,0.192
116,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.635,-0.385,-13.48804,0.81766,67,8,,0.8,-0.6
116,House,21105,61,6,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.63,-0.32,-9.20613,0.87162,67,5,,0.481,-0.177
116,House,21502,61,7,AZ,100,,,"GALLEGO, Ruben",G000574,1979,,-0.452,-0.026,-0.48685,0.99276,67,0,,-0.522,-0.239
116,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958,,0.904,-0.427,-5.06948,0.92497,65,1,,0.876,-0.482
116,House,21739,61,1,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946,,-0.171,0.147,-5.50862,0.91992,66,3,,-0.41,0.912
116,House,21757,61,8,AZ,200,,,"LESKO, Debbie",L000589,1958,,0.681,-0.05,-5.32401,0.92361,67,3,,0.543,-0.042
116,House,21968,61,9,AZ,100,,,"STANTON, Greg",S001211,1970,,-0.499,-0.208,-0.3764,0.9944,67,0,,-0.522,-0.239
116,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966,,0.382,0.462,-2.89713,0.95768,67,1,,0.433,0.901
116,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957,,0.348,0.571,-1.27395,0.98117,67,0,,0.433,0.901
116,House,21503,42,2,AR,200,,,"HILL, French",H001072,1956,,0.474,0.198,-1.94077,0.97145,67,0,,0.433,0.901
116,House,21563,42,4,AR,200,,,"WESTERMAN, Bruce Eugene",W000821,1967,,0.547,0.301,-1.72588,0.97419,66,0,,0.431,0.902
116,House,15448,71,12,CA,100,,,"PELOSI, Nancy",P000197,1940,,-0.49,-0.206,-0.0886,0.9709,3,0,,-0.807,-0.068
116,House,20104,71,28,CA,100,,,"SCHIFF, Adam",S001150,1960,,-0.348,-0.13,-0.57935,0.99139,67,0,,-0.522,-0.239
116,House,20108,71,53,CA,100,,,"DAVIS, Susan A.",D000598,1944,,-0.343,-0.107,-0.62032,0.99078,67,0,,-0.522,-0.239
