congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
96,House,14071,71,19,CA,200,0,1,"LAGOMARSINO, Robert John",L000020,1926,,0.378,-0.267,-289.99219,0.76,1058,120,,0.415,-0.194
96,House,14076,71,5,CA,100,0,1,"BURTON, John Lowell",B001153,1932,,-0.413,-0.783,-355.54606,0.66,855,143,,-0.33,-0.944
96,House,14250,71,35,CA,100,0,1,"LLOYD, James Fredrick",L000379,1922,2012.0,-0.218,-0.032,-610.8297,0.547,1012,203,,-0.215,-0.06
96,House,14256,71,7,CA,100,0,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-304.45715,0.727,953,122,,-0.376,-0.713
96,House,14257,71,13,CA,100,0,1,"MINETA, Norman Y.",M000794,1931,,-0.479,-0.01,-214.95002,0.81,1018,93,,-0.457,0.064
96,House,14266,71,38,CA,100,0,1,"PATTERSON, Jerry Mumford",P000121,1934,,-0.367,0.007,-206.53752,0.797,911,85,,-0.408,0.072
96,House,14280,71,24,CA,100,0,1,"WAXMAN, Henry Arnold",W000215,1939,,-0.473,-0.343,-187.90611,0.804,863,78,,-0.448,-0.243
96,House,14403,71,40,CA,200,0,1,"BADHAM, Robert Edward",B000024,1929,2005.0,0.541,0.084,-224.08488,0.784,920,88,,0.5,0.271
96,House,14405,71,23,CA,100,0,1,"BEILENSON, Anthony Charles",B000318,1932,,-0.44,-0.605,-269.13591,0.761,985,112,,-0.582,-0.406
96,House,14414,71,27,CA,200,0,1,"DORNAN, Robert Kenneth",D000435,1933,,0.49,-0.111,-365.68399,0.681,953,171,,0.353,-0.2
96,House,14444,71,16,CA,100,0,1,"PANETTA, Leon Edward",P000047,1938,,-0.258,-0.186,-416.1851,0.671,1043,199,,-0.201,-0.215
96,House,14613,71,15,CA,100,0,1,"COELHO, Tony",C000581,1942,,-0.413,0.344,-236.5144,0.777,935,104,,-0.356,0.213
96,House,14616,71,39,CA,200,0,1,"DANNEMEYER, William Edwin",D000044,1929,,0.691,-0.24,-295.3318,0.753,1042,127,,0.632,-0.088
96,House,14620,71,28,CA,100,0,1,"DIXON, Julian Carey",D000373,1934,2000.0,-0.458,-0.076,-175.9415,0.821,893,66,,-0.537,-0.059
96,House,14624,71,4,CA,100,0,1,"FAZIO, Victor Herbert, Jr.",F000053,1942,,-0.455,0.36,-232.29029,0.794,1009,102,,-0.452,0.132
96,House,14630,71,33,CA,200,0,1,"GRISHAM, Wayne Richard",G000480,1923,2011.0,0.395,-0.092,-293.58315,0.749,1018,128,,0.372,-0.13
96,House,14644,71,37,CA,200,0,1,"LEWIS, Charles Jeremy (Jerry)",L000274,1934,,0.348,-0.101,-421.27549,0.657,1003,194,,0.316,-0.012
96,House,14647,71,34,CA,200,0,1,"LUNGREN, Daniel Edward",L000517,1946,,0.497,-0.054,-252.54104,0.783,1031,104,,0.517,-0.118
96,House,14649,71,3,CA,100,0,1,"MATSUI, Robert T.",M000249,1941,2005.0,-0.404,-0.03,-197.25571,0.826,1035,77,,-0.446,-0.079
96,House,14652,71,17,CA,200,0,1,"PASHAYAN, Charles, Jr.",P000097,1941,,0.282,-0.232,-315.25805,0.716,942,136,,0.288,-0.067
96,House,14660,71,14,CA,200,0,1,"SHUMWAY, Norman David",S000393,1934,,0.556,0.39,-220.46484,0.799,985,96,,0.51,0.136
96,House,14669,71,18,CA,200,0,1,"THOMAS, William Marshall",T000188,1941,,0.371,-0.277,-278.9148,0.749,963,122,,0.386,-0.132
96,House,14676,71,11,CA,200,0,2,"ROYER, William Howard",R000489,1920,2013.0,0.177,-0.165,-263.00183,0.759,952,116,,0.175,-0.155
96,House,14025,62,4,CO,200,0,1,"JOHNSON, James Paul (Jim)",J000148,1930,,0.162,-0.249,-551.11985,0.512,824,257,,0.081,-0.468
96,House,14051,62,1,CO,100,0,1,"SCHROEDER, Patricia Scott",S000142,1940,,-0.225,-0.974,-585.76705,0.551,984,289,,-0.075,-0.997
96,House,14282,62,2,CO,100,0,1,"WIRTH, Timothy E.",W000647,1939,,-0.293,-0.315,-336.81639,0.711,986,142,,-0.353,-0.138
96,House,14638,62,3,CO,100,0,1,"KOGOVSEK, Raymond Peter",K000304,1941,,-0.33,0.033,-325.86485,0.72,990,143,,-0.289,0.047
96,House,14639,62,5,CO,200,0,1,"KRAMER, Kenneth Bentley",K000322,1942,,0.43,-0.084,-264.34158,0.771,1016,111,,0.472,0.105
96,House,3553,1,3,CT,100,0,1,"GIAIMO, Robert Nicholas",G000151,1919,2006.0,-0.318,0.093,-282.82472,0.67,707,123,,-0.449,0.508
96,House,13009,1,1,CT,100,0,1,"COTTER, William Ross",C000799,1926,1981.0,-0.313,0.103,-316.05234,0.702,893,145,,-0.315,0.313
96,House,13029,1,4,CT,200,0,1,"McKINNEY, Stewart Brett",M000527,1931,1987.0,-0.006,-0.609,-399.52315,0.639,892,190,,-0.103,-0.558
96,House,14213,1,2,CT,100,0,1,"DODD, Christopher John",D000388,1944,,-0.328,-0.317,-195.27167,0.775,767,84,,-0.331,-0.378
96,House,14258,1,6,CT,100,0,1,"MOFFETT, Anthony John, Jr. (Toby)",M000839,1944,,-0.377,-0.756,-239.00231,0.772,924,103,,-0.403,-0.811
96,House,14653,1,5,CT,100,0,1,"RATCHFORD, William Richard",R000067,1934,2011.0,-0.355,-0.267,-230.92011,0.793,996,100,,-0.344,-0.334
